Status,Laptop,Brand,Model,CPU,GPU,RAM,Storage,Storage type,Screen,Touch,CPU Score,GPU Score
New,MSI Vector GP77 13VF-022XES,MSI,Vector,Intel Core i7-13700H,RTX 4060,32,1000,SSD,17.3,0,26456,19703
New,ASUS VivoBook Pro 15 OLED M6500QC-L1010W,Asus,VivoBook,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,15.6,0,20856,9466
New,ASUS ROG Strix G15 G513RC-HF094,Asus,ROG,AMD Ryzen 7 6800H,RTX 3050,16,512,SSD,15.6,0,23136,9466
New,ASUS Chromebook CX1500CNA-EJ0100,Asus,Chromebook,Intel Celeron N3350,Integrated,8,64,eMMC,15.6,0,1110,4
New,HP 15S-fq5101ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe,16,512,SSD,15.6,0,13289,4
New,HP 15S-EQ2090NS,HP,15S,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,HP Omen 16-b1022ns,HP,Omen,Intel Core i7-12700H,RTX 3060,32,1000,SSD,16.1,0,25766,16840
New,ASUS VivoBook 15 F1502ZA-EJ733,Asus,VivoBook,Intel Core i5-1235U,Intel Iris Xe,8,512,SSD,15.6,0,12993,4
New,Asus ZenBook 13 OLED UX325EA-KG245,Asus,ZenBook,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,13.3,0,10011,4
New,HP Victus 16-d1033ns,HP,Victus,Intel Core i7-12700H,RTX 3060,16,512,SSD,16.1,0,25766,16840
New,HP 15S-fq5055ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe,16,512,SSD,15.6,0,13289,4
New,HP 15S-eq2087ns,HP,15S,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,12,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad Gaming 3 15IHU6,Lenovo,IdeaPad,Intel Core i5-11320H,RTX 3050,16,512,SSD,15.6,0,10884,9466
New,MSI Creator M16 B13VE-682XES,MSI,Creator,Intel Core i7-13700H,RTX 4050,32,1000,SSD,16.0,0,26456,14435
New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 7 5700U,Radeon Vega 8,16,512,SSD,15.6,0,15676,4
New,HP 15S-fq2158ns,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,Apple MacBook Air,Apple,MacBook Air,Apple M1 8 Core 3200 MHz,Integrated,8,256,SSD,13.3,0,14145,4
New,Lenovo ThinkBook 14,Lenovo,ThinkBook,Intel Core i5-1135G7,Intel Iris Xe,8,256,SSD,14.0,0,9564,4
New,ASUS TUF Gaming A15 2023 FA507NV-LP041,Asus,TUF,AMD Ryzen 7 7735HS,RTX 4060,16,1000,SSD,15.6,0,23295,19703
New,MSI Katana 15 B12VGK-094XES,MSI,Katana,Intel Core i7-12650H,RTX 4070,16,1000,SSD,15.6,0,22065,26942
New,ASUS M515UA-EJ522W,Asus,M515UA,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,HP Victus 16-e0101ns,HP,Victus,AMD Ryzen 7 5800H,RTX 3060,16,512,SSD,16.1,0,20856,16840
New,HP 250 G9,HP,250,Intel Celeron N4500,Intel UHD Graphics,8,256,SSD,15.6,0,1882,4
New,HP OMEN 16-C0042NS,HP,Omen,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,16.1,0,20856,9466
New,MSI Modern 15 B7M-041XES,MSI,Modern,AMD Ryzen 5 7530U,Ryzen 5 7530U with Radeon Graphics,16,512,SSD,15.6,0,15552,4
New,HP 255 G9,HP,255,AMD 3020e,Integrated,8,512,SSD,15.6,0,2411,4
New,ASUS VivoBook 15 F1500EA-EJ3022,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,15.6,0,10011,4
New,Lenovo V15 G2 ITL,Lenovo,V15,Intel Core i5-1135G7,Intel Iris Xe,8,512,SSD,15.6,0,9564,4
New,ASUS VivoBook 15 F1500EA-EJ3023,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe,8,512,SSD,15.6,0,10011,4
New,MSI Thin GF63 12VE-009XES,MSI,Thin,Intel Core i5-12450H,RTX 4050,16,512,SSD,15.6,0,16401,14435
New,MSI Modern 15 B13M-281XES,MSI,Modern,Intel Core i7-1355U,Intel Iris Xe,16,1000,SSD,15.6,0,14369,4
New,HP 15S-eq2088ns,HP,15S,AMD Ryzen 7 5700U,Radeon Vega 8,16,512,SSD,15.6,0,15676,4
New,MSI Vector GP77 13VG-021XES,MSI,Vector,Intel Core i7-13700H,RTX 4070,32,1000,SSD,17.3,0,26456,26942
New,ASUS VivoBook 15 F1500EA-EJ3067W,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe,8,512,SSD,15.6,0,10011,4
New,MSI Creator M16 B12UDX-809XES,MSI,Creator,Intel Core i7-12650H,RTX 3050,32,1000,SSD,16.0,0,22065,9466
New,Apple Macbook Pro,Apple,MacBook Pro,Apple M2 8 Core 3500 MHz,Integrated,8,256,SSD,13.3,0,15648,4
New,ASUS TUF Gaming A15 2023 FA507XI-LP024,Asus,TUF,AMD Ryzen 9 7940HS,RTX 4070,32,512,SSD,15.6,0,30132,26942
New,MSI Katana 15 B13VFK-031XES,MSI,Katana,Intel Core i7-13620H,RTX 4060,16,1000,SSD,15.6,0,24272,19703
New,HP Victus 16-d1021ns,HP,Victus,Intel Core i7-12700H,RTX 3050,16,512,SSD,16.1,0,25766,9466
New,MSI Modern 14 C13M-426XES,MSI,Modern,Intel Core i7-1355U,Intel Iris Xe,16,1000,SSD,14.0,0,14369,4
New,MSI Modern 15 B12M-430XES,MSI,Modern,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,Radeon Vega 6,8,256,SSD,15.6,0,9612,4
New,MSI Prestige 14H B12UCX-414XES,MSI,Prestige,Intel Core i5-12450H,RTX 2050,16,512,SSD,14.0,0,16401,7757
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,15.6,0,10011,4
New,Lenovo ThinkBook 15 G2 ITL,Lenovo,ThinkBook,Intel Core i5-1135G7,Intel Iris Xe,8,256,SSD,15.6,0,9564,4
New,MSI Prestige 14H B12UCX-413XES,MSI,Prestige,Intel Core i7-12650H,RTX 2050,16,1000,SSD,14.0,0,22065,7757
New,HP Pavilion 15-eg2004ns,HP,Pavilion,Intel Core i7-1255U,Intel Iris Xe,16,512,SSD,15.6,0,13289,4
New,HP Victus 15-fa0026ns,HP,Victus,Intel Core i5-12450H,GTX 1650,16,512,SSD,15.6,0,16401,7878
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe,8,512,SSD,15.6,0,9814,4
New,Lenovo ThinkBook 14 G4 IAP,Lenovo,ThinkBook,Intel Core i5-1235U,Intel Iris Xe,8,256,SSD,14.0,0,12993,4
New,HP Victus 15-fa0004ns,HP,Victus,Intel Core i5-12500H,GTX 1650,16,512,SSD,15.6,0,20660,7878
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,HP 15S-fq5094ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe,8,512,SSD,15.6,0,13289,4
New,MSI Stealth 16 Studio A13VF-038XES,MSI,Stealth,Intel Core i7-13700H,RTX 4060,32,1000,SSD,16.0,0,26456,19703
New,Acer Aspire 5 A515-57-76BV,Acer,Aspire,Intel Core i7-1255U,Intel Iris Xe,8,512,SSD,15.6,0,13289,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,Radeon Vega 6,8,256,SSD,15.6,0,9612,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,Radeon Vega 8,8,512,SSD,15.6,0,15676,4
New,MSI Pulse 15 B13VFK-448XES,MSI,Pulse,Intel Core i9-13900H,RTX 4060,32,1000,SSD,15.6,0,27858,19703
New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD 3020e,Integrated,4,128,SSD,15.6,0,2411,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe,16,512,SSD,15.6,0,9814,4
New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD 3020e,Integrated,4,256,SSD,15.6,0,2411,4
New,MSI Modern 15 B11M-043XES,MSI,Modern,Intel Core i5-1155G7,Intel Iris Xe,8,512,SSD,15.6,0,9814,4
New,ASUS ZenBook 13 OLED UX325EA-KG448W,Asus,ZenBook,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,13.3,0,10011,4
New,ASUS TUF Gaming F15 FX506HF-HN004,Asus,TUF,Intel Core i5-11400H,RTX 2050,16,512,SSD,15.6,0,15398,7757
New,ASUS VivoBook F1605PA-MB125W,Asus,VivoBook,Intel Core i5-11300H,Integrated,16,512,SSD,16.0,0,10849,4
New,Razer Blade 15 Advanced Model QHD,Razer,Blade,Intel Core i7-12800H,RTX 3070,16,1000,SSD,15.6,0,24504,22238
New,Medion Akoya E15301,Medion,Akoya,AMD Ryzen 7 3700U,Integrated,8,256,SSD,15.6,0,7099,4
New,ASUS ExpertBook B1 B1502CBA-EJ0469X,Asus,ExpertBook,Intel Core i5-1235U,Intel Iris Xe,8,256,SSD,15.6,0,12993,4
New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD Ryzen 3 3250U,Integrated,8,256,SSD,15.6,0,3748,4
New,HP 15S-eq2089ns,HP,15S,AMD Ryzen 3 5300U,Radeon Vega 6,8,256,SSD,15.6,0,9612,4
New,ASUS VivoBook F1605PA-MB143,Asus,VivoBook,Intel Core i7-11370H,Integrated,8,512,SSD,16.0,0,11646,4
New,ASUS Vivobook Go E1504FA-BQ204W,Asus,VivoBook,AMD Ryzen 5 7520U,Radeon 610M,8,512,SSD,15.6,0,9139,1104
New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,15.6,0,10011,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,Radeon Vega 8,8,512,SSD,15.6,0,15676,4
New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,Radeon Vega 6,8,256,SSD,15.6,0,9612,4
New,ASUS VivoBook F1605PA-MB124W,Asus,VivoBook,Intel Core i7-11370H,Integrated,8,512,SSD,16.0,0,11646,4
New,ASUS VivoBook F1605PA-MB146,Asus,VivoBook,Intel Core i5-11300H,Integrated,8,512,SSD,16.0,0,10849,4
New,ASUS ZenBook 14 UM425QA-KI252,Asus,ZenBook,AMD Ryzen 7 5800H,Integrated,16,512,SSD,14.0,0,20856,4
New,Acer Aspire 3 A315-59-504M,Acer,Aspire,Intel Core i5-1235U,Intel Iris Xe,16,512,SSD,15.6,0,12993,4
New,Lenovo IdeaPad Gaming 3 15IAH7,Lenovo,IdeaPad,Intel Core i7-12700H,RTX 3060,16,512,SSD,15.6,0,25766,16840
New,ASUS VivoBook F1500EA-EJ3070W,Asus,VivoBook,Intel Core i5-1135G7,Intel Iris Xe,16,512,SSD,15.6,0,9564,4
New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,16,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe,16,512,SSD,15.6,0,9814,4
New,HP 255 G9,HP,255,AMD 3020e,Integrated,8,256,SSD,15.6,0,2411,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,HP 255 G9,HP,255,AMD Ryzen 5 5625U,Integrated,16,512,SSD,15.6,0,14837,4
New,Lenovo IdeaPad 5 15ALC05,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,8,512,SSD,15.6,0,12868,4
New,ASUS Chromebook CX1400CKA-EK0138,Asus,Chromebook,Intel Celeron N4500,Intel UHD Graphics,8,64,eMMC,14.0,0,1882,4
New,Lenovo Legion 5 15ACH6H,Lenovo,Legion,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,15.6,0,20856,9466
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1135G7,Intel Iris Xe,8,512,SSD,15.6,0,9564,4
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,15.6,0,20856,9466
New,Lenovo ThinkBook 14 G2 ITL,Lenovo,ThinkBook,Intel Core i5-1135G7,Intel Iris Xe,16,512,SSD,14.0,0,9564,4
New,MSI Pulse GL76 12UEK-828XES,MSI,Pulse,Intel Core i7-12700H,RTX 3060,32,1000,SSD,17.3,0,25766,16840
New,Apple Macbook Air,Apple,MacBook Air,Apple M2 8 Core 3500 MHz,Integrated,8,256,SSD,13.6,0,15648,4
New,Acer Aspire 3 A317-53-53U0,Acer,Aspire,Intel Core i5-1135G7,Intel Iris Xe,8,512,SSD,17.3,0,9564,4
New,MSI Raider GE68HX 13VF-045XES,MSI,Raider,Intel Core i9-13950HX,RTX 4060,32,1000,SSD,16.0,0,41877,19703
New,HP 15S-fq4042ns,HP,15S,Intel Core i7-1195G7,Intel Iris Xe,8,512,SSD,15.6,0,10549,4
New,Lenovo Legion 5 15IAH7H,Lenovo,Legion,Intel Core i7-12700H,RTX 3060,16,512,SSD,15.6,0,25766,16840
New,HP ProBook 450 G8,HP,ProBook,Intel Core i5-1135G7,Intel Iris Xe,8,256,SSD,15.6,0,9564,4
New,ASUS VivoBook 15 F1500EA-EJ3021,Asus,VivoBook,Intel Core i5-1135G7,Intel Iris Xe,16,512,SSD,15.6,0,9564,4
New,Lenovo IdeaPad Gaming 3 15IAH7,Lenovo,IdeaPad,Intel Core i5-12500H,RTX 3050,16,512,SSD,15.6,0,20660,9466
New,MSI Modern 14 C13M-447XES,MSI,Modern,Intel Core i5-1335U,Intel Iris Xe,16,512,SSD,14.0,0,14372,4
New,MSI Modern 14 C12M-017XES,MSI,Modern,Intel Core i7-1255U,Intel Iris Xe,16,512,SSD,14.0,0,13289,4
Refurbished,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i7-1165G7,Intel Iris Xe,16,512,SSD,15.6,0,10011,4
New,MSI Pulse 15 B13VGK-433XES,MSI,Pulse,Intel Core i9-13900H,RTX 4070,32,1000,SSD,15.6,0,27858,26942
New,MSI Stealth 15 A13VF-028XES,MSI,Stealth,Intel Core i7-13620H,RTX 4060,32,1000,SSD,15.6,0,24272,19703
New,ASUS Chromebook CX1400FKA-EC0078,Asus,Chromebook,Intel Celeron N4500,Intel UHD Graphics,8,64,eMMC,14.0,1,1882,4
New,Lenovo V15 G2 ITL,Lenovo,V15,Intel Core i5-1135G7,Intel Iris Xe,16,512,SSD,15.6,0,9564,4
New,ASUS Chromebook CX1400CNA-BV0210,Asus,Chromebook,Intel Celeron N3350,Integrated,8,32,eMMC,14.0,0,1110,4
New,MSI Vector GP68HX 12VH-009XES,MSI,Vector,Intel Core i9-12900HX,RTX 4080,32,1000,SSD,16.0,0,33256,34435
New,HP 15S-fq5075ns,HP,15S,Intel Core i5-1235U,Intel Iris Xe,8,512,SSD,15.6,0,12993,4
New,Acer Aspire 3 A315-59-56GV,Acer,Aspire,Intel Core i5-1235U,Intel Iris Xe,8,512,SSD,15.6,0,12993,4
New,ASUS ExpertBook P1512CEA-EJ0083X,Asus,ExpertBook,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 5 5600H,RTX 3050,16,512,SSD,15.6,0,16751,9466
New,ASUS ZenBook 14 OLED UM3402YA-KM513,Asus,ZenBook,AMD Ryzen 5 7530U,Ryzen 5 7530U with Radeon Graphics,16,512,SSD,14.0,0,15552,4
New,Lenovo IdeaPad Gaming 3 15IAH7,Lenovo,IdeaPad,Intel Core i5-12500H,RTX 3050,16,512,SSD,15.6,0,20660,9466
New,Lenovo Legion 5 15ITH6H,Lenovo,Legion,Intel Core i5-11400H,RTX 3060,16,512,SSD,15.6,0,15398,16840
New,Lenovo IdeaPad Flex 5 14ALC05,Lenovo,IdeaPad,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,16,512,SSD,14.0,1,12868,4
New,Apple MacBook Air,Apple,MacBook Air,Apple M1 8 Core 3200 MHz,Integrated,8,256,SSD,13.3,0,14145,4
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 5 5600H,GTX 1650,16,512,SSD,15.6,0,16751,7878
New,MSI Prestige 14H B12UCX-427XES,MSI,Prestige,Intel Core i7-12650H,RTX 2050,32,1000,SSD,14.0,0,22065,7757
New,ASUS F515EA-EJ1858W,Asus,F515,Intel Core i7-1165G7,Intel Iris Xe,8,512,SSD,15.6,0,10011,4
New,Gigabyte G5 KF-E3ES313SD,Gigabyte,G5,Intel Core i5-12500H,RTX 4060,16,512,SSD,15.6,0,20660,19703
New,HP ChromeBook 14b-na0017ns,HP,Chromebook,AMD Ryzen 3 3250C,Integrated,8,128,SSD,14.0,0,3153,4
New,Dell Vostro 3510,Dell,Vostro,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,Apple Macbook Air,Apple,MacBook Air,Apple M2 8 Core 3500 MHz,Integrated,8,256,SSD,13.6,0,15648,4
New,ASUS TUF Gaming A15 2023 FA507NV-LP031W,Asus,TUF,AMD Ryzen 7 7735HS,RTX 4060,16,512,SSD,15.6,0,23295,19703
New,MSI Thin GF63 12UDX-042XES,MSI,Thin,Intel Core i5-12450H,RTX 3050,16,512,SSD,15.6,0,16401,9466
New,Lenovo Ideapad Gaming 3 Gen 6,Lenovo,IdeaPad,Intel Core i5-11320H,GTX 1650,16,512,SSD,15.6,0,10884,7878
New,Lenovo Legion 5 15IAH7H,Lenovo,Legion,Intel Core i7-12700H,RTX 3060,16,1000,SSD,15.6,0,25766,16840
New,HP 15S-EQ2086NS,HP,15S,AMD Ryzen 3 5300U,Radeon Vega 6,8,512,SSD,15.6,0,9612,4
New,HP Essential 255 G8,HP,255,AMD 3020e,Integrated,8,256,SSD,15.6,0,2411,4
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 5 5600H,GTX 1650,16,512,SSD,15.6,0,16751,7878
New,Medion Akoya E14301,Medion,Akoya,AMD Ryzen 5 3500U,Integrated,4,256,SSD,14.0,0,6868,4
New,ASUS Vivobook 14 F1402ZA-EK610,Asus,VivoBook,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,14.0,0,10548,4
New,MSI Modern 14 C12M-077XES,MSI,Modern,Intel Core i7-1255U,Intel Iris Xe,16,1000,SSD,14.0,0,13289,4
Refurbished,ASUS ROG Strix G15 G513RM-HQ012,Asus,ROG,AMD Ryzen 7 6800H,RTX 3060,16,1000,SSD,15.6,0,23136,16840
New,MSI Modern 15 B13M-280XES,MSI,Modern,Intel Core i5-1335U,Intel Iris Xe,16,512,SSD,15.6,0,14372,4
New,HP 15S-eq2091ns,HP,15S,AMD Ryzen 7 5700U,Radeon Vega 8,12,512,SSD,15.6,0,15676,4
New,Lenovo Ideapad Duet 5 Chromebook,Lenovo,IdeaPad,Snapdragon 7c,Integrated,8,128,eMMC,13.3,1,3712,4
New,Acer Nitro 5 AN515-47-R5K6,Acer,Nitro,AMD Ryzen 5 7535HS,RTX 3050,16,1000,SSD,15.6,0,18023,9466
New,Lenovo V15 G2 ITL,Lenovo,V15,Intel Core i3-1115G4,Intel UHD Graphics,8,512,SSD,15.6,0,5934,4
New,MSI Prestige 16 Studio A13VF-042XES,MSI,Prestige,Intel Core i7-13700H,RTX 4060,32,1000,SSD,16.0,0,26456,19703
New,HP 15S-EQ1158NS,HP,15S,AMD 3020e,Integrated,4,128,SSD,15.6,0,2411,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,LG Gram 17Z90R-G.AA75B,LG,Gram,Intel Evo Core i7-1360P,Intel Iris Xe,16,512,SSD,17.0,0,18760,4
New,MSI Prestige 16 Studio A13VE-045XES,MSI,Prestige,Intel Core i7-13700H,RTX 4050,32,1000,SSD,16.0,0,26456,14435
New,ASUS E410MA-EK1356WS,Asus,E410,Intel Celeron N4020,Intel UHD Graphics 600,4,64,eMMC,14.0,0,1546,4
New,HP OMEN 17-cm2003ns,HP,Omen,Intel Core i7-13700HX,RTX 4060,32,1000,SSD,17.3,0,32855,19703
New,Medion Akoya E16401 MD62264,Medion,Akoya,Intel Core i5-1135G7,Intel Iris Xe,8,512,SSD,16.1,0,9564,4
New,Lenovo V15 G2 ALC,Lenovo,V15,AMD Ryzen 3 5300U,Radeon Vega 6,8,256,SSD,15.6,0,9612,4
New,ASUS ZenBook 14 OLED UM3402YA-KM512WS,Asus,ZenBook,AMD Ryzen 7 7730U,Integrated,16,512,SSD,14.0,0,18183,4
Refurbished,Alurin Flex Advance,Alurin,Flex Advance,Intel Core I5-1155G7,Intel Iris Xe,8,256,SSD,14.0,0,9814,4
New,Acer Aspire 3 A315-58-32EE,Acer,Aspire,Intel Core i3-1115G4,Intel UHD Graphics,8,512,SSD,15.6,0,5934,4
New,ASUS Chromebook Vibe CX55 Flip CX5501FEA-NA0271,Asus,Chromebook,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,1,5934,4
New,MSI Stealth 17 Studio A13VG-017ES,MSI,Stealth,Intel Core i7-13700H,RTX 4070,32,1000,SSD,17.3,0,26456,26942
