App,Category,CPU,GPU,RAM
Procreate,Design,Apple M2 chip (iPad),Apple M2 GPU,8GB
3ds Max,3D,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
Houdini,3D,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
Unity,Game Dev,Intel Core i7-13700 / AMD Ryzen 7 7700X,NVIDIA RTX 4070 / AMD RX 7800 XT,64GB
Unreal Engine,Game Dev,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
Toon Boom Harmony,Animation,Intel Core i7-13700 / AMD Ryzen 7 7700X,NVIDIA RTX 4070 / AMD RX 7800 XT,64GB
Marvelous Designer,3D,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
KeyShot,Rendering,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
Nuke,VFX,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,96GB
Arnold Renderer,Rendering,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,96GB
Redshift,Rendering,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4090 / AMD RX 7900 XTX,96GB
Audacity,Audio,Intel Core i5-13600K / AMD Ryzen 5 7600X,Intel UHD 770 / AMD Radeon 780M,32GB
OBS Studio,Broadcast,Intel Core i7-13700 / AMD Ryzen 7 7700X,NVIDIA RTX 4070 / AMD RX 7800 XT,32GB
REAPER,Audio,Intel Core i7-13700 / AMD Ryzen 7 7700X,Intel UHD 770 / AMD Radeon 780M,64GB
Resolume Arena,Live Visuals,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,64GB
TouchDesigner,Live Visuals,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4090 / AMD RX 7900 XTX,64GB
Ableton Live,Audio,Intel Core i7-13700 / AMD Ryzen 7 7700X,Intel UHD 770 / AMD Radeon 780M,64GB
Pro Tools,Audio,Intel Core i9-13900 / AMD Ryzen 9 7900X,Intel UHD 770 / AMD Radeon 780M,64GB
FL Studio,Audio,Intel Core i7-13700 / AMD Ryzen 7 7700X,Intel UHD 770 / AMD Radeon 780M,32GB
Max/MSP,Audio,Intel Core i7-13700 / AMD Ryzen 7 7700X,Intel UHD 770 / AMD Radeon 780M,32GB
V-Ray,Rendering,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4080 / AMD RX 7900 XT,96GB
Octane Render,Rendering,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4090 / AMD RX 7900 XTX,96GB
Quixel Mixer,3D,Intel Core i7-13700 / AMD Ryzen 7 7700X,NVIDIA RTX 4070 / AMD RX 7800 XT,64GB
Mari,3D,Intel Core i9-13900 / AMD Ryzen 9 7900X,NVIDIA RTX 4090 / AMD RX 7900 XTX,96GB
Blackmagic Fusion,VFX,Intel Core i7-13700 / AMD Ryzen 7 7700X,NVIDIA RTX 4070 Ti / AMD RX 7900 XT,64GB
Adobe Audition,Audio,Intel Core i7-13700 / AMD Ryzen 7 7700X,Intel UHD 770 / AMD Radeon 780M,64GB
