Game,CPU,GPU,RAM,File Size
inZOI,Intel Core i7-12700  / Ryzen 7 5800X3D,NVIDIA GeForce RTX 3070 Ti  / Radeon RX 6800 XT,16 GB,75 GB
Assassin's Creed Shadows,Intel Core i5-11600K  / Ryzen 5 5600X,NVIDIA GeForce RTX 3060 Ti  / Radeon RX 6700 XT,16 GB,100 GB
Grand Theft Auto V,Intel Core i5-9600K  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 6600 XT,16 GB,105 GB
Schedule I,Intel Core i5-1300F,AMD Radeon RX 6700  / GeForce RTX 3060,16 GB,8 GB
R.E.P.O.,Intel Core i7-8700,NVIDIA GeForce GTX 1070,8 GB,1 GB
CS2,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,85 GB
Monster Hunter Wilds,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,75 GB
Marvel Rivals,Intel Core i5-10400  / Ryzen 5 5600X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700 XT,16 GB,70 GB
Valorant,Intel Core i3-4150  / Ryzen 3 1200,NVIDIA GeForce GT 730  / Radeon R7 240,4 GB,30 GB
Cyberpunk 2077,Intel Core i7-12700K  / Ryzen 7 7800X3D,NVIDIA GeForce RTX 2060  / Radeon RX 5700 XT,16 GB,70 GB
Split Fiction,Intel Core i7-12700K  / Ryzen 7 7800X3D,NVIDIA GeForce RTX 3070  / Radeon RX 6800 XT,16 GB,60 GB
GTA 6,Intel Core i7-10700,NVIDIA GeForce RTX 3060,16 GB,150 GB
Elden Ring,Intel Core i7-8700K  / Ryzen 5 3600X,NVIDIA GeForce GTX 1070  / Radeon RX Vega 56,16 GB,60 GB
Red Dead Redemption 2,Intel Core i7-4770K,NVIDIA GeForce GTX 1060,12 GB,150 GB
Fortnite,Intel Core i5-7300U  / Ryzen 3 3300U,NVIDIA GeForce GTX 960  / Radeon R9 280,16 GB,26 GB
Minecraft,Intel Core i7-6500U  / A8-6600K,NVIDIA GeForce 940M  / Radeon HD 8570D,8 GB,2 GB
FragPunk,Intel Core i7-10700K  / Ryzen 5 5600X,NVIDIA GeForce RTX 3060  / Radeon RX 5700 XT,16 GB,40 GB
Baldur's Gate 3,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700 XT,16 GB,150 GB
The Last of Us Part 2 Remastered,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 5700,16 GB,150 GB
EA SPORTS FC 25,Intel Core i7-6700  / Ryzen 7 2700X,NVIDIA GeForce GTX 1660  / Radeon RX 5600 XT,12 GB,100 GB
Kingdom Come: Deliverance II,Intel Core i5-12600K  / Ryzen 7 5800X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700,32 GB,100 GB
Marvel's Spider-Man 2,Intel Core i5-8400  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 5700,16 GB,140 GB
HELLDIVERS 2,Intel Core i7-9700K  / Ryzen 7 3700X,AMD Radeon RX 6600 XT  / GeForce RTX 2060,16 GB,100 GB
PUBG: Battlegrounds,Intel Core i5-6600K,NVIDIA GeForce GTX 1060 3GB,16 GB,50 GB
Hogwarts Legacy,Intel Core i7-6700,NVIDIA GeForce RTX 2060,16 GB,85 GB
Ghost of Tsushima DIRECTORS CUT,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,16 GB,75 GB
Forza Horizon 5,AMD Ryzen 5 1500X,NVIDIA GeForce GTX 1070,16 GB,110 GB
God of War Ragnarök,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700,16 GB,190 GB
The Last of Us,Intel Core i7-8700  / Ryzen 5 3600X,NVIDIA GeForce RTX 2070 SUPER  / Radeon RX 6600 XT,16 GB,100 GB
Call of Duty: Warzone,Intel Core i5-2500K  / Ryzen 5 1600X,NVIDIA GeForce GTX 970  / GeForce GTX 1660 / Radeon RX 580 / Radeon R9 390,12 GB,175 GB
BLEACH Rebirth of Souls,Intel Core i7-12700KF,NVIDIA GeForce RTX 2080 Ti,16 GB,75 GB
Windows 11,Unknown,Unknown,Unknown,Unknown
Genshin Impact,Intel Core i7-6700,NVIDIA GeForce GTX 1060,16 GB,30 GB
GTA 4,Intel Core 2 Quad Q6600,NVIDIA GeForce 8600 GT,4 GB,16 GB
Rise of the Rōnin,Intel Core i5-10600K,NVIDIA GeForce RTX 2060,16 GB,80 GB
Ready Or Not,Intel Core i5-7600K  / Ryzen 5 1600,NVIDIA GeForce GTX 1060,8 GB,90 GB
Rust,AMD Ryzen 5 2600,NVIDIA GeForce RTX 3060,16 GB,35 GB
Microsoft Flight Simulator 2024,Intel Core i7-10700K  / Ryzen 7 2700X,NVIDIA GeForce RTX 2080,32 GB,50 GB
Solo Leveling:Arise,Intel Core i5-4460,NVIDIA GeForce GTX 1660,16 GB,30 GB
Delta Force,Intel Core i5-6500  / Ryzen 5 1500X,NVIDIA GeForce GTX 1060 5GB  / Radeon RX 5500 XT,16 GB,88 GB
WWE 2K25,Intel Core i7-4790,AMD Radeon RX 5600  / GeForce GTX 1070,16 GB,103 GB
FIFA 23,Intel Core i7-6700  / Ryzen 7 2700X,NVIDIA GeForce GTX 1660,12 GB,100 GB
Atomfall,Unknown,Unknown,Unknown,Unknown
Red Dead Redemption,Intel Core i5-7600K,NVIDIA GeForce GTX 1660,12 GB,20 GB
Wuthering Waves,Intel Core i7-9700K  / Ryzen 7 3700X,NVIDIA GeForce RTX 2060  / Radeon RX 5700 XT,16 GB,30 GB
Call of Duty: Black Ops 6,Intel Core i7-9700K,NVIDIA GeForce RTX 2080,16 GB,128 GB
Sons of the Forest,Intel Core i7-8700K  / Ryzen 3 3300X,NVIDIA GeForce GTX 1080 Ti  / Radeon RX 570,16 GB,20 GB
Final Fantasy 16,Intel Core i7-10700  / Ryzen 7 5700X,NVIDIA GeForce RTX 2080  / Radeon RX 6700 XT,16 GB,170 GB
Battlefield 1,Intel Core i7-4790,NVIDIA GeForce GTX 1060 3GB,16 GB,50 GB
Adobe Photoshop,Intel Core i5-8400,NVIDIA GeForce GTX 1070,16 GB,16 GB
ARK: Survival Ascended,Intel Core i5-10600K  / Ryzen 5 3600X,NVIDIA GeForce RTX 3080  / Radeon RX 6800M,32 GB,70 GB
Black Myth: Wukong,Intel Core i7-9700  / Ryzen 5 5500,NVIDIA GeForce RTX 2060  / Radeon RX 5700 XT,16 GB,130 GB
Avowed,Intel Core i7-10700K  / Ryzen 5 5600X,NVIDIA GeForce RTX 3080  / Radeon RX 6800 XT,16 GB,75 GB
The First Berserker: Khazan,Intel Core i7-6700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,70 GB
Apex Legends,Intel Core i5-3570K  / FX-4350,NVIDIA GeForce GTX 970  / Radeon R9 290,8 GB,22 GB
Wreckfest 2,Intel Core i7-9700,NVIDIA GeForce RTX 3070 Ti,16 GB,15 GB
The Witcher 3,AMD FX-8350,NVIDIA GeForce GTX 770,8 GB,35 GB
Tom Clancys Rainbow Six Siege,Intel Core i5-2500K,NVIDIA GeForce GTX 670,8 GB,61 GB
Palworld,Intel Core i9-9900K,NVIDIA GeForce RTX 2070,32 GB,40 GB
Blood Strike,Intel Core i3-7100,NVIDIA GeForce GT 240,8 GB,4 GB
World of Warcraft,Intel Core i7-8086K,NVIDIA GeForce RTX 2070,16 GB,128 GB
God of War,AMD Ryzen 5 2400G,NVIDIA GeForce GTX 1060,8 GB,70 GB
Path of Exile 2,Intel Core i9-9900K,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,16 GB,100 GB
League of Legends,Intel Core i5-3330,NVIDIA GeForce GTX 560,4 GB,16 GB
F1® 24,Intel Core i5-9600K,Unknown,16 GB,100 GB
Stalker 2,Intel Core i7-11700  / Ryzen 7 5800X,NVIDIA GeForce RTX 3070 Ti  / Radeon RX 6800 XT,32 GB,160 GB
Star Citizen,Intel Core i7-10700K  / Ryzen 7 2700X,NVIDIA GeForce RTX 3060 Ti  / Radeon RX 6700 XT,16 GB,150 GB
Dota 2,Intel Core i3-2120,NVIDIA GeForce GTX 650,8 GB,15 GB
Devil May Cry 5,Unknown,Unknown,Unknown,Unknown
FIFA 19,Intel Core i3-6300T,AMD Radeon R9 270X,8 GB,50 GB
Adobe Premiere Pro,Intel Core i5-7500,NVIDIA GeForce GTX 1070,16 GB,8 GB
Silent Hill 2,Intel Core i7-8700K  / Ryzen 5 3600X,NVIDIA GeForce RTX 2080  / Radeon RX 6800 XT,16 GB,50 GB
Cricket 24,Intel Core i5-6600K,NVIDIA GeForce GTX 1660 Ti,8 GB,60 GB
Resident Evil 4 Remake,Intel Core i7-8700  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,50 GB
Cities Skylines 2,Intel Core i5-12600K  / Ryzen 7 5800X,NVIDIA GeForce RTX 3080  / Radeon RX 6800 XT,16 GB,60 GB
Warframe,Intel Core i3-3220,NVIDIA GeForce GTX 1050,8 GB,10 GB
BeamNG.drive,Intel Core i7-6700  / Ryzen 7 1700,NVIDIA GeForce GTX 970  / Radeon R9 290,32 GB,50 GB
Kingdom Come: Deliverance,Intel Core i7-3770,NVIDIA GeForce GTX 1060,16 GB,40 GB
DOOM 2016,Intel Core i7-3770,NVIDIA GeForce GTX 970,8 GB,55 GB
Fallout 4,Intel Core i7-4790,NVIDIA GeForce GTX 780,8 GB,30 GB
Forza Horizon 4,Intel Core i7-3820,NVIDIA GeForce GTX 970,12 GB,65 GB
Phasmophobia,Intel Core i5-4590,NVIDIA GeForce GTX 970,8 GB,16 GB
Starfield,Intel Core i5-10600K  / Ryzen 5 3600X,NVIDIA GeForce RTX 2070  / Radeon RX 6800 XT,16 GB,125 GB
Blender,Intel Core i7-5960X,NVIDIA GeForce GTX 1070,32 GB,Unknown
NBA 2K25,Intel Core i5-10600,NVIDIA GeForce RTX 2070,16 GB,150 GB
It Takes Two,Intel Core i5-3570K,NVIDIA GeForce GTX 980,16 GB,50 GB
Zenless Zone Zero,Intel Core i7-2600,NVIDIA GeForce GTX 1660,8 GB,10 GB
No Man's Sky,Intel Core i7-4790,NVIDIA GeForce GTX 1070,16 GB,15 GB
Final Fantasy 7 Rebirth,AMD Ryzen 5 5600  / Core i7-8700,AMD Radeon RX 6700 XT  / GeForce RTX 2070,16 GB,155 GB
War Thunder,Intel Core i5-2537M  / Ryzen 5 3600,NVIDIA GeForce GTX 1060  / Radeon RX 570,16 GB,95 GB
Space Marine 2,Intel Core i7-12700,NVIDIA GeForce RTX 3070,16 GB,75 GB
Sid Meier’s Civilization 7,Intel Core i5-10400  / Ryzen 5 3600X,NVIDIA GeForce RTX 2060  / Radeon RX 6600,16 GB,20 GB
Sekiro: Shadows Die Twice,Intel Core i5-2500K,NVIDIA GeForce GTX 970,4 GB,25 GB
Bodycam,Intel Core i7-10700K  / Core i7-10700K,AMD Radeon RX 6600 XT  / GeForce RTX 3060,16 GB,50 GB
Dragon's Dogma 2,Intel Core i7-10700  / Ryzen 5 3600X,NVIDIA GeForce RTX 2080  / Radeon RX 6700,16 GB,100 GB
Assassin's Creed Mirage,AMD Ryzen 5 3600  / Core i7-8700K,AMD Radeon RX 5600 XT  / GeForce GTX 1660 Ti,16 GB,40 GB
Mortal Kombat 1,Intel Core i5-8400  / Ryzen 5 3600X,AMD Radeon RX 5700  / GeForce GTX 1080 Ti,8 GB,100 GB
Far Cry 4,Intel Core i5-2400S,NVIDIA GeForce GTX 680,8 GB,30 GB
Euro Truck Simulator 2,AMD Athlon II X4 640,NVIDIA GeForce GTX 760,6 GB,3 GB
Marvel’s Spider-Man Remastered,Intel Core i5-4670  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,75 GB
eFootball PES 2021,Intel Core i7-3770,AMD Radeon R9 270X,8 GB,11 GB
Dune: Awakening,Intel Core i7-10700K  / Ryzen 5 2600X,NVIDIA GeForce RTX 3070  / Radeon RX 6700 XT,16 GB,75 GB
Diablo 4,Intel Core i5-4670K  / Ryzen 3 1300X,NVIDIA GeForce GTX 970  / Radeon RX 470,16 GB,90 GB
The Sims 4,Intel Core i5-4460T,NVIDIA GeForce GTX 650,4 GB,20 GB
Monster Hunter: World,AMD Ryzen 5 1500X,AMD Radeon RX 570,8 GB,20 GB
Jurassic World Evolution 2,Intel Core i7-5775C,NVIDIA GeForce GTX 1070,12 GB,14 GB
DayZ,Intel Core i5-6600K,NVIDIA GeForce GTX 1060,12 GB,25 GB
Once Human,Intel Core i7-7700,NVIDIA GeForce GTX 1060,16 GB,50 GB
FiveM,Intel Core i5-3470  / FX-8350,NVIDIA GeForce GTX 660  / Radeon HD 7870,16 GB,80 GB
HITMAN World of Assassination,Intel Core i7-4790,Unknown,16 GB,60 GB
ARK: Survival Evolved,Intel Core i5-2400,AMD Radeon HD 7870,8 GB,60 GB
Assetto Corsa,AMD FX-6300,NVIDIA GeForce GTX 970,6 GB,30 GB
TEKKEN 8,Intel Core i7-7700K  / Ryzen 5 2600X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,100 GB
Forza Horizon 3,Intel Core i7-3820,NVIDIA GeForce GTX 1060,12 GB,55 GB
DOOM: The Dark Ages,Intel Core i7-12700K  / Ryzen 7 5700X,NVIDIA GeForce RTX 3080  / Radeon RX 6800,32 GB,100 GB
Need for Speed Heat,Intel Core i7-4790,NVIDIA GeForce GTX 1060,16 GB,50 GB
Indiana Jones and the Great Circle,Intel Core i7-12700K  / Ryzen 7 7700,NVIDIA GeForce RTX 3080 Ti  / Radeon RX 7700 XT,32 GB,120 GB
Microsoft Flight Simulator 2020,Intel Core i5-8400,AMD Radeon RX 590,16 GB,150 GB
THE FINALS,Intel Core i5-9600K,NVIDIA GeForce RTX 2070,16 GB,15 GB
Lethal Company,Intel Core i5-9400F,NVIDIA GeForce GTX 1660,8 GB,1 GB
Far Cry 5,AMD Ryzen 5 1600,NVIDIA GeForce GTX 970,8 GB,40 GB
Batman: Arkham Knight,Intel Core i7-3770,NVIDIA GeForce GTX 760,8 GB,55 GB
Half-Life: Alyx,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,67 GB
Roblox,Intel Core i3-2120,AMD Radeon R7 240,4 GB,1 GB
Escape From Tarkov,Intel Core i5-2500  / FX-4350,NVIDIA GeForce GTX 1060 3GB  / Radeon HD 7870,16 GB,19 GB
Destiny 2,Intel Core i5-2400  / Ryzen 5 1600X,NVIDIA GeForce GTX 970  / Radeon R9 390,8 GB,105 GB
Manor Lords,Intel Core i5-7600  / Ryzen 3 2200G,NVIDIA GeForce GTX 1060  / Radeon RX 580,12 GB,16 GB
The Forest,Intel Core 2 Quad Q8200,NVIDIA GeForce GTX 560,4 GB,5 GB
Mount & Blade II: Bannerlord,Intel Core i5-9600K,AMD Radeon RX 580,8 GB,60 GB
A Way Out,Intel Core i5-3570K,NVIDIA GeForce GTX 960,16 GB,25 GB
Overwatch 2,Intel Core i7-6920HQ  / Ryzen 5 1400,NVIDIA GeForce GTX 1060 3GB  / Radeon R9 380,8 GB,50 GB
Farming Simulator 25,Intel Core i7-10700  / Ryzen 7 3800X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,12 GB,45 GB
Satisfactory,Intel Core i5-10400F,NVIDIA GeForce RTX 3060,16 GB,20 GB
Enshrouded,Intel Core i7-8700  / Ryzen 7 2700X,NVIDIA GeForce RTX 2070 SUPER  / Radeon RX 6700 XT,16 GB,60 GB
South of Midnight,Intel Core i5-7600K  / Ryzen 5 1600X,NVIDIA GeForce RTX 2060  / Radeon RX 6600,16 GB,55 GB
Far Cry 3,Intel Core 2 Duo E8400,NVIDIA GeForce 8500 GT,4 GB,15 GB
Half Sword,Intel Core i5-12400T,Unknown,4 GB,Unknown
Borderlands 3,Intel Core i7-4770,NVIDIA GeForce GTX 1060,16 GB,75 GB
Call of Duty: Modern Warfare,Intel Core i7-6700,AMD Radeon RX Vega 56,16 GB,50 GB
EA SPORTS FC 24,Intel Core i7-6700,Unknown,12 GB,100 GB
DARK SOULS III,Intel Core i7-3770,NVIDIA GeForce GTX 970,4 GB,25 GB
Skyrim,Intel Core 2 Quad Q6600,NVIDIA GeForce GTX 260,4 GB,6 GB
Arma 3,Intel Core i5-4460,NVIDIA GeForce GTX 660,6 GB,35 GB
Sea of Thieves,Intel Core i5-4690,NVIDIA GeForce GTX 770,8 GB,50 GB
Death Stranding,Intel Core i7-3770,NVIDIA GeForce GTX 1060,8 GB,80 GB
eFootball 2022,Intel Core i5-7600,Unknown,8 GB,50 GB
Mortal Kombat 11,Intel Core i5-2300,NVIDIA GeForce GTX 1060,8 GB,Unknown
Battlefield 2042,AMD Ryzen 7 2700X,NVIDIA GeForce RTX 3060 Ti,16 GB,100 GB
Dying Light,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
TEKKEN 7,Intel Core i5-4690,NVIDIA GeForce GTX 1060,8 GB,60 GB
Assassin's Creed Unity,Intel Core i7-3770,NVIDIA GeForce GTX 780,8 GB,50 GB
HITMAN,Intel Core i7-3770,NVIDIA GeForce GTX 770,8 GB,50 GB
Mortal Shell,Intel Core i7-610,NVIDIA GeForce GTX 1070,16 GB,12 GB
Rocket League,Intel Core 2 Quad Q8300,NVIDIA GeForce GTX 660,4 GB,7 GB
Project Zomboid,Unknown,Unknown,Unknown,Unknown
Cities Skylines,Intel Core i5-3470,AMD Radeon HD 7870,6 GB,4 GB
UNCHARTED™: Legacy of Thieves Collection,Intel Core i7-4770K  / Ryzen 5 1500X,NVIDIA GeForce 510  / Radeon RX 570,16 GB,126 GB
Arena Breakout: Infinite,Intel Core i7-10700KF  / Ryzen 7 3700X,NVIDIA GeForce RTX 2080  / Radeon RX 6800 XT,32 GB,100 GB
Detroit: Become Human,Intel Core i5-8400,NVIDIA GeForce GTX 1060,16 GB,Unknown
AI Limit,Intel Core i7-9700,Unknown,16 GB,30 GB
Watch Dogs 2,AMD FX-8120,NVIDIA GeForce GTX 780,8 GB,27 GB
Battlefield 5,Intel Core i7-4790,NVIDIA GeForce GTX 1060,12 GB,50 GB
Arma Reforger,Intel Core i7-6700,Unknown,16 GB,25 GB
Dragon Age Veilguard,Intel Core i9-9900K  / Ryzen 7 3700X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,100 GB
Call of Duty Black Ops 3,Intel Core i3-530,AMD Radeon HD 6970,6 GB,100 GB
Assassin's Creed IV Black Flag,Intel Core i5-2400S,ATI Radeon HD 5850,4 GB,30 GB
Free Fire MAX,Unknown,Unknown,Unknown,Unknown
Assassin's Creed Valhalla,Intel Core i7-6700,NVIDIA GeForce GTX 1080,8 GB,50 GB
Assassin's Creed Odyssey,Intel Core i7-3770,NVIDIA GeForce GTX 970,8 GB,46 GB
Valheim,Intel Core i5-650,NVIDIA GeForce GTX 970,8 GB,1 GB
Total War: Warhammer 3,AMD Ryzen 5 1600X,NVIDIA GeForce GTX 1660 Ti,8 GB,120 GB
Subnautica,Intel Core i5-4460,NVIDIA GeForce GTX 550 Ti,8 GB,20 GB
Hitman 3,Intel Core i7-4790,NVIDIA GeForce GTX 1070,16 GB,80 GB
Elden Ring Nightreign,Intel Core i5-11500  / Ryzen 5 5600,NVIDIA GeForce GTX 1070,16 GB,30 GB
Dead by Daylight,Intel Core i3-4170,NVIDIA GeForce GTX 760,8 GB,25 GB
Far Cry 6,Intel Core i7-9700,NVIDIA GeForce GTX 1080,16 GB,60 GB
Persona 5 Royal,Intel Core i7-4790,AMD Radeon HD 7870  / GeForce GTX 760,8 GB,41 GB
Squad,Intel Core i7-4790K,NVIDIA GeForce GTX 970,16 GB,35 GB
Dying Light 2,Intel Core i5-8600K,AMD Radeon RX Vega 56,16 GB,60 GB
FIFA 22,Intel Core i5-3550,NVIDIA GeForce GTX 670,8 GB,50 GB
Mortal Kombat X,Intel Core i7-3770,NVIDIA GeForce GTX 660,8 GB,44 GB
Crusader Kings 3,Intel Core i5-4670K,AMD Radeon R9 390X,8 GB,8 GB
GTA: San Andreas,Intel Core i7-2600K,NVIDIA GeForce GTX 970,16 GB,45 GB
Star Wars Jedi: Survivor,Intel Core i5-11600K  / Ryzen 5 5600X,NVIDIA GeForce RTX 2070  / Radeon RX 6700 XT,16 GB,155 GB
Conan Exiles,Intel Core i7-3770K,NVIDIA GeForce GTX 970,8 GB,50 GB
DARK SOULS: REMASTERED,Intel Core i5-4570,AMD Radeon HD 7870,8 GB,8 GB
Assassin's Creed Origins,AMD FX-8350,NVIDIA GeForce GTX 760,8 GB,42 GB
DRAGON BALL: Sparking! ZERO,Intel Core i7-9700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX Vega 64,16 GB,29 GB
Call of Duty Black Ops 2,Intel Core 2 Duo E8200,ATI Radeon HD 3870,2 GB,16 GB
FINAL FANTASY 14,Intel Core i7-9700,AMD Radeon RX 5600 XT  / GeForce RTX 2060,16 GB,140 GB
Age of Empires 4,AMD Ryzen 5 1600,AMD Radeon RX 570,16 GB,50 GB
Resident Evil 2,Intel Core i7-3770  / FX-9590,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 480,8 GB,26 GB
Mafia III,Intel Core i7-3770,NVIDIA GeForce GTX 1060,8 GB,50 GB
Monster Hunter Rise,Intel Core i5-4460,NVIDIA GeForce GTX 1060 3GB,8 GB,23 GB
Tom Clancy's Ghost Recon Breakpoint,Intel Core i7-6700K,Unknown,8 GB,67 GB
World War Z: Aftermath,AMD Ryzen 5 2400G,NVIDIA GeForce GTX 960,16 GB,50 GB
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,Intel Core i7-8700,NVIDIA GeForce RTX 2060,16 GB,40 GB
Raft,Intel Core i5-4400E,NVIDIA GeForce GTX 750,8 GB,6 GB
Battlefield 4,Intel Core i5 750S,AMD Radeon HD 7870,8 GB,30 GB
DOOM Eternal,Intel Core i7-6700K,AMD Radeon RX 480,8 GB,50 GB
Tom Clancy's Ghost Recon Wildlands,AMD FX-8350,NVIDIA GeForce GTX 970,8 GB,50 GB
GTA: Vice City,Intel Core i7-2700K,NVIDIA GeForce GTX 970,16 GB,45 GB
Hell Let Loose,Intel Core i5-8400,NVIDIA GeForce GTX 1060,16 GB,30 GB
Need for Speed Unbound,Intel Core i7-8700,NVIDIA GeForce RTX 2070,16 GB,50 GB
Just Cause 3,Intel Core i7-3770,NVIDIA GeForce GTX 780,8 GB,54 GB
Anno 1800,Intel Core i5-4690K,NVIDIA GeForce GTX 970,8 GB,40 GB
Yandere Simulator,Unknown,Unknown,Unknown,Unknown
Horizon Forbidden West Complete Edition,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 5700,16 GB,150 GB
Hitman: Absolution,AMD Athlon II Neo K325,ATI Radeon HD 5770,4 GB,24 GB
Death Stranding 2 On the Beach,Intel Core i9-9900K,NVIDIA GeForce RTX 2080,16 GB,100 GB
NieR:Automata,Intel Core i5-4670,AMD Radeon R9 380X,8 GB,50 GB
Watch Dogs,Intel Core i7-3770,AMD Radeon HD 7850,8 GB,25 GB
STEEL HUNTERS,Intel Core i5-9600,Unknown,16 GB,32 GB
Days Gone,Intel Core i7-4770K,AMD Radeon RX 580,16 GB,70 GB
Gray Zone Warfare,Intel Core i7-9700K  / Ryzen 5 3600X,NVIDIA GeForce RTX 3070 Ti  / Radeon RX 6800,32 GB,40 GB
Sleeping Dogs,Intel Core i5 750S,NVIDIA GeForce GTX 560,4 GB,15 GB
Honkai: Star Rail,Intel Core i7-8700K,NVIDIA GeForce GTX 1060,8 GB,20 GB
Persona 3 Reload,Intel Core i7-4790  / Ryzen 5 1400,NVIDIA GeForce GTX 1650  / Radeon R9 290X,8 GB,30 GB
BlueStacks,Intel Core 2 Quad Q8200,NVIDIA GeForce GTX 560 Ti,8 GB,5 GB
Football Manager 2024,Unknown,Unknown,Unknown,Unknown
Halo Infinite,AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2070,16 GB,50 GB
Marvel’s Spider-Man: Miles Morales,Intel Core i5-4670,AMD Radeon RX 580,16 GB,75 GB
Mecha BREAK,Intel Core i7-10700K,NVIDIA GeForce RTX 3060,16 GB,Unknown
Clair Obscur: Expedition 33,Intel Core i7-12700K  / Ryzen 7 5800X,NVIDIA GeForce RTX 3060 Ti  / Radeon RX 6800 XT,16 GB,55 GB
ENA: Dream BBQ,Intel Core i3-12100F,NVIDIA GeForce GTX 1650,8 GB,10 GB
Call of Duty: Modern Warfare III,Intel Core i7-6700K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1080 Ti  / Radeon RX 6600 XT,16 GB,149 GB
Call of Duty Modern Warfare 2,Intel Core i7-4770  / Ryzen 5 1400,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 580,12 GB,125 GB
Resident Evil 7,Intel Core i7-3770  / FX-9590,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 480,8 GB,24 GB
Need for Speed (2015),Intel Core i5-4690,NVIDIA GeForce GTX 970,8 GB,30 GB
Stellar Blade,Intel Core i5-8400  / Ryzen 5 3600X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700 XT,16 GB,75 GB
Subnautica 2,Intel Core i7-13700  / Ryzen 7 7700X,AMD Radeon RX 5600 XT  / GeForce RTX 2060,16 GB,50 GB
Off The Grid,Intel Core i7-12700K,NVIDIA GeForce RTX 4070,32 GB,Unknown
F1 Manager 2024,Intel Core i5-12400T,NVIDIA GeForce RTX 2060,4 GB,Unknown
Chained Together,Intel Core i5-10400  / Ryzen 5 2600X,NVIDIA GeForce RTX 3060,16 GB,6 GB
Resident Evil Village,Intel Core i7-8700,NVIDIA GeForce GTX 1070,16 GB,50 GB
Enlisted,Intel Core i5-3570K,NVIDIA GeForce GTX 1060,8 GB,12 GB
Borderlands 4,Intel Core i7-8700K,NVIDIA GeForce RTX 2070,16 GB,100 GB
Hearts of Iron IV,Intel Core i5-750,NVIDIA GeForce GTX 570,4 GB,2 GB
Throne and Liberty,Intel Core i5-11600K,NVIDIA GeForce GTX 1660,16 GB,63 GB
Metro Exodus,Intel Core i7-4770K,NVIDIA GeForce RTX 2060,8 GB,59 GB
Call of Duty WW2,Intel Core i5-4460,NVIDIA GeForce GTX 1070,16 GB,90 GB
The Genesis Order,Intel Core 2 Duo Q6867,Unknown,3 GB,9 GB
Alan Wake 2,AMD Ryzen 7 3700X,NVIDIA GeForce RTX 4070  / Radeon RX 6700 XT,16 GB,90 GB
Dolphin Emulator,Intel Core i5-6500,AMD Radeon R9 280,4 GB,20 GB
Rise of the Tomb Raider,Intel Core i7-3770K,NVIDIA GeForce GTX 980 Ti,8 GB,25 GB
Mafia: Definitive Edition,Intel Core i7-3770,NVIDIA GeForce GTX 1080,16 GB,50 GB
Need for Speed Most Wanted (2012),Intel Core 2 Quad Q9000,NVIDIA GeForce GTX 560,4 GB,20 GB
Assassin's Creed III,Intel Core 2 Quad Q9400,NVIDIA GeForce 8500 GT,4 GB,17 GB
Fallout 76,Intel Core i7-4790,NVIDIA GeForce GTX 970,8 GB,80 GB
Hollow Knight,Intel Core i5-650,NVIDIA GeForce GTX 560,8 GB,9 GB
Sifu,Unknown,Unknown,Unknown,Unknown
eFootball  PES 2020,Intel Core i7-3770,AMD Radeon R9 270X,8 GB,40 GB
Commandos: Origins,Intel Core i7-9700  / Ryzen 7 3700X,AMD Radeon RX 6600  / GeForce RTX 3060,16 GB,31 GB
